Activation,Fold,Dice_ET,Dice_TC,Dice_WT,Dice_NCR,Dice_ED,HD95_ET,HD95_TC,HD95_WT,HD95_NCR,HD95_ED,Sens_ET,Sens_TC,Sens_WT,Sens_NCR,Sens_ED,Prec_ET,Prec_TC,Prec_WT,Prec_NCR,Prec_ED
prelu,0,0.7569384063812893,0.8056252737808494,0.8929731404133227,0.6130475339959786,0.769084800846716,24.447268238394827,9.363394510717432,2.792993125165334,17.44840584081953,5.023894788429053,0.7748826908241648,0.7891839650035554,0.8810116280026513,0.5952119933217471,0.7932294599091553,0.7634813700326949,0.8781430839897812,0.9195773719783754,0.7611176012323152,0.787640872272005
prelu,1,0.8083420296080014,0.8420471644034284,0.9103311003552566,0.6652808117137773,0.8050111800293952,17.098980281787465,3.0020672487399063,1.626516424599821,6.516978110501932,3.361176630285255,0.821195996715005,0.8582859285658727,0.904876702342553,0.6715199023007971,0.8185760044183411,0.8237710041267873,0.8771980503432139,0.9259656362274116,0.7527473744918293,0.817302542828708
prelu,2,0.7678710125117224,0.8554540796800711,0.9220927573586767,0.6900264389749132,0.7978857296113239,19.309432166399464,4.972170355208263,1.9675495448624045,7.762212863903935,3.8828690075988836,0.8014982572973168,0.8515746067491811,0.9311947053645501,0.6895698896534259,0.8363846455468614,0.7813618893323486,0.8881432143900446,0.9212437082837328,0.7779682769204839,0.7875068964781256
prelu,3,0.7429448243211032,0.8143074050090536,0.8881096275457341,0.6266714503540481,0.7431612753575993,33.794095294708896,4.8181195612309775,2.3322122479324343,7.620414755059741,4.887669948493695,0.739666045460626,0.810577636092854,0.8693142851351783,0.651132238160147,0.7443909077506137,0.7740030959099384,0.8698220544619456,0.9373252447755244,0.6860033233554202,0.7951350529740896
prelu,4,0.7257229492121604,0.8111492199410579,0.8947465116674085,0.6629114936362291,0.7745720133921931,38.14896258590792,13.973893501237686,1.9897581001500473,16.47020562659721,8.621990349810433,0.748168750670469,0.8035380853249077,0.8851567834949391,0.672968740296233,0.7953385930857176,0.7476438479795718,0.8677273751502576,0.9343538104110231,0.7470170836143222,0.7792857008378324
relu,0,0.7467461867112994,0.8275884189758171,0.8928540666935937,0.6372074628613846,0.7628855052069896,29.014982585077803,4.125340215441165,3.3529853011780872,12.081383816794688,5.321545923019621,0.7466652658303419,0.8383634427547045,0.8802002873255567,0.671164561085337,0.7641132256130918,0.7824203771755694,0.8575143498237682,0.9205690742894054,0.707798498443722,0.8016188383451321
relu,1,0.8071055304042701,0.8435210907950161,0.9101695964870926,0.6701816941899178,0.8116106690648133,17.29359553262045,3.2275835005723987,1.425099133301455,5.491686032831124,3.0811521015449657,0.8231747868520084,0.8630019606324022,0.9130002405209364,0.6695820625659669,0.8332444825566014,0.8180236488484743,0.8598466004790701,0.9174029379548858,0.7296007704271279,0.8155108054042745
relu,2,0.7696770008539621,0.8631051450090399,0.9255065275835206,0.7035281598723516,0.7994855106041335,18.495742704370862,2.611719867779647,1.1863151653006638,5.119413277683795,3.113316251821411,0.7962853592714558,0.8597540740715462,0.9195614444486401,0.7153631580831448,0.8121318152878663,0.7903131758304743,0.897567014606159,0.9408870489729914,0.7815221667085711,0.8125572821166376
relu,3,0.7396125836459213,0.8027552734286407,0.8948033483749838,0.6134031306832192,0.7524804001515764,38.90791490057825,8.616582012946726,1.9389765329178787,10.998665584169823,5.061970424282654,0.7490660893803589,0.7963879786628107,0.892622021644211,0.622686379657889,0.7841445202348493,0.7539457528798802,0.8604703494698309,0.9164568843892031,0.7002068882850971,0.765626448026293
relu,4,0.7085770587379248,0.8001157703386033,0.8899960804915877,0.6524002723909763,0.7637271144416672,48.59014894606393,19.373790719377293,6.989968339666883,21.438699244505365,13.786466518415228,0.7323514159407143,0.8050074605900581,0.8875659517752974,0.6747346712022025,0.7837361617465923,0.7229339454147383,0.8431933481594535,0.9144622339042294,0.7304707275720242,0.7738793582916268
swish,0,0.74647671494688,0.8329544180988234,0.8988673024639156,0.6445412300292476,0.7710313255619677,29.407669529684984,3.7676118376432464,2.1970299752329088,11.398852552289622,4.036410714182359,0.7423787787061709,0.8282209100552692,0.9017209525462531,0.6451868759501735,0.7989678129351437,0.7870087366835483,0.8740060878401108,0.9081679267283551,0.7376849218470466,0.7814293128465688
swish,1,0.8065314773735436,0.8450912587006751,0.9079163511897198,0.6776278632927915,0.8005669332611359,17.320652179771884,2.9364579632037113,1.5153579322732467,5.088215139253417,3.865131571571673,0.8134189595090031,0.858048967998233,0.9141280127395185,0.6735875855075949,0.8309927454145397,0.8303379455193737,0.8796939518293438,0.9143085339671554,0.7598405112696206,0.8014761259779994
swish,2,0.7701785786462175,0.8700854702081405,0.926645336552317,0.7145261628074889,0.8005610858192336,20.136760669121138,3.20683797199119,1.0644427621766506,6.4167307419842725,2.722112826078172,0.7890292090743474,0.8653121364476037,0.9111725785433109,0.7335085948763248,0.7987428849946886,0.8003712947654084,0.9006222443656323,0.9491793125794405,0.7740243317365959,0.8285879965962768
swish,3,0.738173322347114,0.8129367016798991,0.8935783924115686,0.6204023436591519,0.7517283506094176,34.200683930288676,8.339142240056876,1.9697216812509701,16.386778532362577,4.336381315006068,0.7378373925317449,0.7894154598919204,0.8860491064491133,0.6127556085567372,0.7845064990447641,0.7646967242353079,0.8897426589763244,0.9230450356570864,0.7088649604983593,0.771727684721597
swish,4,0.7117911111008709,0.7985879885617221,0.8890291786593709,0.6599896851680407,0.7679944325372543,48.01006752624876,19.275585545562627,7.045916615731415,21.387520782026638,13.989526862857494,0.7305289575466949,0.7903524005059768,0.8894476868379128,0.665880598980629,0.7999678005651305,0.728797739391388,0.8607185863579271,0.9143116672044838,0.7695559349758394,0.7631457029951042
tanhexp,0,0.7405584112033015,0.827316318899182,0.8921447138443541,0.6421850099422571,0.770174917968316,29.223757215625145,4.552544478824964,3.054910412433314,12.782396349455286,5.114478252624341,0.7530917697705354,0.8281186840410065,0.8994614415691313,0.6603222316371246,0.8013449978506344,0.7597095296729152,0.8672151591744179,0.901038841336855,0.7296259929937583,0.7801087297338251
tanhexp,1,0.8137848712658351,0.8549710081697813,0.9102761022613959,0.6802128882117053,0.8082182892234758,17.061809490822593,2.6416268040636575,1.415648030301211,5.136908088480409,2.947580614924935,0.8236112132048995,0.866479745693812,0.9065055535714214,0.6797929163980485,0.8200912156490534,0.8285356825724748,0.8836364604646194,0.9255881499594775,0.7554767119390263,0.8202839694367137
tanhexp,2,0.7667448461340147,0.8509261240739313,0.9293350309450991,0.6883752873900492,0.8022160673071841,19.848278366470574,4.140508837787112,1.028827267677632,7.34997566817775,2.9793262053912435,0.7991395433714755,0.8490238561118261,0.9228871678859601,0.6902063845428439,0.8181309256602788,0.7789966821254665,0.8896643399944053,0.9393564877374587,0.7871585600798983,0.808602703036549
tanhexp,3,0.7388004753223786,0.8200926927096682,0.8959315941881811,0.6244773227722898,0.75355089814479,38.796705836979996,4.380461646028223,1.7734629489019815,11.80909571677443,4.857718382038561,0.744464023859367,0.8144907879327694,0.883592195024408,0.6346022615359532,0.7705516442046696,0.7521512203850513,0.87461321404214,0.9290547138810857,0.6988270602590189,0.7841644741626331
tanhexp,4,0.722936214921101,0.8007581383430725,0.8842282250589911,0.6644302088069863,0.7637183717108122,43.08496492653807,19.02300474838716,7.197317741517638,20.866489893504145,13.827900935980317,0.7457207981234808,0.7973253704911165,0.866286551595228,0.6760519716727825,0.7637446580796633,0.7395437397045936,0.8427846982608206,0.9302910791680274,0.7351028039104732,0.7950142505562618
