Activation,Metric,Region,n,mean,sd,ci_boot_low,ci_boot_high,ci_norm_low,ci_norm_high
logish,Dice,ET,73,0.8046,0.0894,0.7831,0.8238,0.7841,0.8251
logish,Dice,TC,73,0.866,0.1098,0.8394,0.889,0.8408,0.8912
logish,Dice,WT,73,0.877,0.0912,0.8543,0.8963,0.8561,0.898
logish,Dice,NCR,73,0.6697,0.2359,0.6133,0.7206,0.6156,0.7238
logish,Dice,ED,73,0.7909,0.1313,0.7604,0.819,0.7607,0.821
logish,HD95,ET,73,2.0789,2.8144,1.5166,2.7916,1.4332,2.7245
logish,HD95,TC,73,2.3314,3.3234,1.6257,3.1443,1.569,3.0938
logish,HD95,WT,73,2.2066,3.3759,1.5239,3.0444,1.4321,2.981
logish,HD95,NCR,73,5.6041,5.9886,4.3635,7.1083,4.2303,6.9778
logish,HD95,ED,73,3.3305,3.8855,2.5175,4.323,2.4391,4.2218
logish,Sens,ET,73,0.8294,0.126,0.7995,0.8579,0.8005,0.8583
logish,Sens,TC,73,0.8486,0.1191,0.8205,0.8742,0.8213,0.876
logish,Sens,WT,73,0.8693,0.1275,0.839,0.8966,0.84,0.8985
logish,Sens,NCR,73,0.6325,0.2367,0.5778,0.686,0.5782,0.6868
logish,Sens,ED,73,0.8006,0.1593,0.7624,0.8353,0.764,0.8371
logish,Prec,ET,73,0.8021,0.1085,0.7749,0.8259,0.7772,0.827
logish,Prec,TC,73,0.9031,0.1248,0.8718,0.9285,0.8745,0.9318
logish,Prec,WT,73,0.903,0.081,0.8834,0.9202,0.8844,0.9216
logish,Prec,NCR,73,0.7979,0.215,0.7449,0.844,0.7486,0.8472
logish,Prec,ED,73,0.8097,0.1354,0.7783,0.8394,0.7786,0.8408
smish,Dice,ET,73,0.8012,0.1008,0.7774,0.823,0.778,0.8243
smish,Dice,TC,73,0.8602,0.1181,0.8321,0.886,0.8331,0.8873
smish,Dice,WT,73,0.8711,0.102,0.8464,0.892,0.8477,0.8945
smish,Dice,NCR,73,0.6609,0.2369,0.6059,0.7132,0.6066,0.7153
smish,Dice,ED,73,0.7851,0.1391,0.7507,0.8162,0.7532,0.817
smish,HD95,ET,73,2.1732,3.5469,1.4891,3.097,1.3595,2.9868
smish,HD95,TC,73,2.5083,4.0704,1.6925,3.5256,1.5745,3.442
smish,HD95,WT,73,2.3952,3.5261,1.6768,3.3012,1.5863,3.2041
smish,HD95,NCR,73,5.5486,5.9059,4.2961,6.961,4.1938,6.9034
smish,HD95,ED,73,3.5554,4.2806,2.669,4.5804,2.5734,4.5374
smish,Sens,ET,73,0.817,0.1362,0.7845,0.8449,0.7857,0.8482
smish,Sens,TC,73,0.8429,0.1367,0.8109,0.8719,0.8115,0.8743
smish,Sens,WT,73,0.8612,0.1366,0.8287,0.8896,0.8299,0.8926
smish,Sens,NCR,73,0.641,0.2409,0.5836,0.6942,0.5858,0.6963
smish,Sens,ED,73,0.7916,0.1644,0.752,0.8274,0.7539,0.8293
smish,Prec,ET,73,0.8084,0.1082,0.7835,0.8328,0.7835,0.8332
smish,Prec,TC,73,0.8974,0.1161,0.8686,0.9214,0.8708,0.924
smish,Prec,WT,73,0.9023,0.0839,0.882,0.92,0.883,0.9215
smish,Prec,NCR,73,0.7632,0.2352,0.7076,0.8147,0.7092,0.8171
smish,Prec,ED,73,0.8102,0.1408,0.7761,0.841,0.7779,0.8425
tanhexp,Dice,ET,73,0.8115,0.0768,0.7936,0.8281,0.7939,0.8291
tanhexp,Dice,TC,73,0.8644,0.1177,0.836,0.8884,0.8374,0.8914
tanhexp,Dice,WT,73,0.8792,0.084,0.8586,0.8969,0.8599,0.8984
tanhexp,Dice,NCR,73,0.6645,0.2438,0.607,0.7171,0.6086,0.7205
tanhexp,Dice,ED,73,0.7907,0.127,0.7614,0.819,0.7615,0.8198
tanhexp,HD95,ET,73,2.2564,3.7909,1.5007,3.2645,1.3868,3.1261
tanhexp,HD95,TC,73,2.9482,5.7801,1.799,4.4233,1.6222,4.2741
tanhexp,HD95,WT,73,2.1014,2.8276,1.5271,2.7977,1.4527,2.75
tanhexp,HD95,NCR,73,5.7494,6.6682,4.3157,7.3885,4.2197,7.2791
tanhexp,HD95,ED,73,3.3706,3.8196,2.5436,4.33,2.4944,4.2468
tanhexp,Sens,ET,73,0.8477,0.0963,0.8255,0.8689,0.8257,0.8698
tanhexp,Sens,TC,73,0.8591,0.1001,0.8361,0.8813,0.8361,0.882
tanhexp,Sens,WT,73,0.8793,0.1167,0.8501,0.9043,0.8525,0.906
tanhexp,Sens,NCR,73,0.6332,0.2352,0.5775,0.6854,0.5793,0.6872
tanhexp,Sens,ED,73,0.8073,0.1522,0.7707,0.8401,0.7724,0.8422
