Metric,Region,Activation,p_raw,p_holm,p_bh,sig_raw,sig_holm,sig_bh
Dice,ET,logish,0.0735416513817086,1.0,0.1685329510830822,,,
Dice,ET,smish,0.1898013112928949,1.0,0.3070315329738006,,,
Dice,ET,tanhexp,0.012275057377678209,0.5155524098624847,0.04822343969802153,*,,*
Dice,ET,leaky_relu,0.06922595419986914,1.0,0.16554032526055665,,,
Dice,ET,prelu,0.5843740438913797,1.0,0.6695952586255393,,,
Dice,ET,elu,0.03453147375101184,1.0,0.09757530402362417,*,,
Dice,ET,gelu,0.16342922807261867,1.0,0.28089398574981334,,,
Dice,ET,swish,0.0011691275939336885,0.06196376247848549,0.021434005888784288,**,,*
Dice,ET,mish,0.0003273285228280611,0.01800306875554336,0.012061984705066125,**,*,*
Dice,ET,elish,0.010661113618697,0.45842788560397096,0.04510471146371808,*,,*
Dice,ET,hard_elish,0.43987363370071164,1.0,0.5498420421258895,,,
Dice,TC,logish,0.7519194181042635,1.0,0.810893490112441,,,
Dice,TC,smish,0.10079316562971591,1.0,0.20450040020492477,,,
Dice,TC,tanhexp,0.5995716512460126,1.0,0.6729885881332796,,,
Dice,TC,leaky_relu,0.8409638173877263,1.0,0.8726983010627348,,,
Dice,TC,prelu,0.0034784623261253774,0.18088004095851962,0.0354301974943332,**,,*
Dice,TC,elu,0.8109941671164014,1.0,0.8577822921423477,,,
Dice,TC,gelu,0.008803671524114721,0.38736154706104775,0.04035016115219247,**,,*
Dice,TC,swish,0.9539682069234127,1.0,0.9539682069234127,,,
Dice,TC,mish,0.5006606585940774,1.0,0.5986160048407446,,,
Dice,TC,elish,0.3600115511818024,1.0,0.48682241732487325,,,
Dice,TC,hard_elish,0.11780472592369381,1.0,0.21597533086010534,,,
Dice,WT,logish,0.023011756300145545,0.9204702520058218,0.07910291228175031,*,,
Dice,WT,smish,0.21508679059273733,1.0,0.3286048189611265,,,
Dice,WT,tanhexp,0.0073609281572561795,0.33476565320345353,0.0368046407862809,**,,*
Dice,WT,leaky_relu,0.007240921435267824,0.33476565320345353,0.0368046407862809,**,,*
Dice,WT,prelu,0.5656331508721784,1.0,0.6619111339993576,,,
Dice,WT,elu,0.3629039838239964,1.0,0.48682241732487325,,,
Dice,WT,gelu,0.9320927565981304,1.0,0.9493537335721698,,,
Dice,WT,swish,0.43987363370071164,1.0,0.5498420421258895,,,
Dice,WT,mish,0.0038651124539272586,0.19325562269636293,0.0354301974943332,**,,*
Dice,WT,elish,0.10782748374441489,1.0,0.20450040020492477,,,
Dice,WT,hard_elish,0.12987964059843096,1.0,0.23043162041657106,,,
Dice,NCR,logish,0.006237381026813342,0.3005653581973199,0.0368046407862809,**,,*
Dice,NCR,smish,0.22333470553128387,1.0,0.33198402173569225,,,
Dice,NCR,tanhexp,0.03548192873586334,1.0,0.09757530402362417,*,,
Dice,NCR,leaky_relu,0.6149457281331211,1.0,0.6764403009464333,,,
Dice,NCR,prelu,0.041665626742836824,1.0,0.10912426051695359,*,,
Dice,NCR,elu,0.003603248558128865,0.18376567646457212,0.0354301974943332,**,,*
Dice,NCR,gelu,0.017947577672814016,0.7358506845853746,0.06580778480031806,*,,
Dice,NCR,swish,0.00043861762563876815,0.02368535178449348,0.012061984705066125,**,*,*
Dice,NCR,mish,0.02471992082614468,0.9640769122196425,0.07997621443752691,*,,
Dice,NCR,elish,0.1066288266044168,1.0,0.20450040020492477,,,
Dice,NCR,hard_elish,0.3264380443439186,1.0,0.46036134458757755,,,
Dice,ED,logish,0.04749391043956779,1.0,0.11873477609891948,*,,
Dice,ED,smish,0.08680664521085422,1.0,0.1909746194638793,,,
Dice,ED,tanhexp,0.0061339869019861205,0.3005653581973199,0.0368046407862809,**,,*
Dice,ED,leaky_relu,0.007122673472413905,0.33476565320345353,0.0368046407862809,**,,*
Dice,ED,prelu,0.3775833805011517,1.0,0.4944544268467463,,,
Dice,ED,elu,0.2130595513857543,1.0,0.3286048189611265,,,
Dice,ED,gelu,0.3183732375554643,1.0,0.46036134458757755,,,
Dice,ED,swish,0.18795105213600974,1.0,0.3070315329738006,,,
Dice,ED,mish,0.030944105315639982,1.0,0.09455143290889995,*,,
Dice,ED,elish,0.09741577447063038,1.0,0.20450040020492477,,,
Dice,ED,hard_elish,0.49717070377754674,1.0,0.5986160048407446,,,
HD95,ET,logish,0.89889162537402,1.0,0.9726957873541638,,,
HD95,ET,smish,0.875514371472764,1.0,0.9726957873541638,,,
HD95,ET,tanhexp,0.8325945631224927,1.0,0.9726957873541638,,,
HD95,ET,leaky_relu,0.3746866524585065,1.0,0.7375206427317205,,,
HD95,ET,prelu,0.11719346315939883,1.0,0.46887486576531295,,,
HD95,ET,elu,0.7955952361730259,1.0,0.9726957873541638,,,
HD95,ET,gelu,0.3486180923599841,1.0,0.7374613492230432,,,
HD95,ET,swish,0.9089557906288345,1.0,0.9726957873541638,,,
HD95,ET,mish,0.5723904365428367,1.0,0.8298211099032782,,,
HD95,ET,elish,0.9352688661672083,1.0,0.9726957873541638,,,
