Activation,Dice_ET_mean,Dice_ET_std,Dice_ET_sig,Dice_TC_mean,Dice_TC_std,Dice_TC_sig,Dice_WT_mean,Dice_WT_std,Dice_WT_sig,Dice_NCR_mean,Dice_NCR_std,Dice_NCR_sig,Dice_ED_mean,Dice_ED_std,Dice_ED_sig,Sens_ET_mean,Sens_ET_std,Sens_ET_sig,Sens_TC_mean,Sens_TC_std,Sens_TC_sig,Sens_WT_mean,Sens_WT_std,Sens_WT_sig,Sens_NCR_mean,Sens_NCR_std,Sens_NCR_sig,Sens_ED_mean,Sens_ED_std,Sens_ED_sig,Prec_ET_mean,Prec_ET_std,Prec_ET_sig,Prec_TC_mean,Prec_TC_std,Prec_TC_sig,Prec_WT_mean,Prec_WT_std,Prec_WT_sig,Prec_NCR_mean,Prec_NCR_std,Prec_NCR_sig,Prec_ED_mean,Prec_ED_std,Prec_ED_sig,HD95_ET_mean,HD95_ET_std,HD95_ET_sig,HD95_TC_mean,HD95_TC_std,HD95_TC_sig,HD95_WT_mean,HD95_WT_std,HD95_WT_sig,HD95_NCR_mean,HD95_NCR_std,HD95_NCR_sig,HD95_ED_mean,HD95_ED_std,HD95_ED_sig
elish,0.7996988827194236,0.1318278683723917,*,0.8548712676525959,0.15574641249212456,,0.8688488619745746,0.11536125912831324,,0.6598493990354095,0.25951896014000686,,0.7829273862943381,0.14211210964405988,,0.832140808098121,0.15793341523388207,**,0.8479939839274986,0.16162487278315404,**,0.875027632709712,0.1480888070875211,,0.6323976688027846,0.255523715737718,,0.8080814015119321,0.1674869430075836,*,0.8014856993594293,0.10732448417242443,**,0.893425238227748,0.136815013802283,**,0.887772018142351,0.0860884677900917,**,0.7753582809188005,0.2482534975672292,**,0.7942635982848789,0.14208836720040274,,2.2688510324398776,4.672234761335404,,2.8569801952843092,5.6010283850785285,,2.338401055321653,3.78195143049038,,10.478411544548507,43.488807605960616,,3.5875995523463238,4.414188812488651,
elu,0.8080143975263,0.08695180111444263,*,0.8674373926636241,0.1085165304723784,,0.8736045822557126,0.09302412470615486,,0.6708966235949043,0.2366545424584404,**,0.7855938892735167,0.1319696669966564,,0.8227369541036837,0.1308689649821673,**,0.8489485244212055,0.11678432691539714,**,0.8646232994218562,0.1338516825768769,**,0.6468260654586148,0.2389167296513016,,0.7942635585536436,0.16469708249531906,,0.8136642320479811,0.09944164020374033,**,0.9031549482044751,0.12208018969277336,**,0.9025774908334768,0.07562974651126546,**,0.7812794789074583,0.22345372154993,**,0.8093821100991895,0.13565218088647663,**,2.011384754881774,3.274298804153672,,2.4390186574983796,4.243846399905528,,2.3921320565237867,4.06726790460739,,5.650347414268483,6.5923118186084935,,3.6949942287382784,5.098786608391717,
gelu,0.7969475075457126,0.09572036670068343,,0.8541367554651793,0.11706451974669878,**,0.8740568464803551,0.08499308318358628,,0.6701428701392073,0.24139844010765824,*,0.7865534746494988,0.13207575028757196,,0.7898584828457386,0.13601890199614522,**,0.8102938494178108,0.13440859925841828,**,0.876089996357431,0.11732279849173478,**,0.6207621839151038,0.2453455749483937,**,0.8210659693972329,0.15097072702962966,**,0.8277112227809089,0.10232535364492143,**,0.9229767209233173,0.11504626231583702,**,0.8876097990580968,0.08706825005179505,**,0.8028542714577962,0.23533077451031104,**,0.7777955920502416,0.14930864922138334,*,1.9407268357200556,2.154529598135534,,2.6554205673455757,4.54034099546594,,2.626554072859782,6.302653494845694,,5.794448937429473,6.475077591147006,,3.91589312784947,7.778796923084238,
hard_elish,0.8043777996351309,0.08130909294983137,,0.865419710105117,0.10198955279273969,,0.8727283322940629,0.0799960662899705,,0.6700233928834001,0.23468003567846574,,0.7844982659264829,0.1287929731511622,,0.8239155810188239,0.11548548496797487,**,0.8312478878313694,0.11908723872759822,**,0.8952393453385672,0.10704634187285528,**,0.60234924328769,0.24403472719706876,**,0.8410289554589693,0.1399745029223545,**,0.8040125170034514,0.10784200290135688,**,0.9180351593189457,0.11514497759992806,**,0.8666875491278428,0.09924652210257068,**,0.8351504487705136,0.20501607803763316,**,0.7595544433266095,0.15409952463619983,**,1.87452503036544,2.633885441776458,,2.5285503551931883,4.818467613118815,,2.093170277105781,2.4933522123181593,,5.690870553950785,6.568551928053913,**,3.3751066745727982,3.5008566615773433,
leaky_relu,0.8093784982756244,0.08483048309611166,,0.8657590550380881,0.10379632257113615,,0.8773471315079632,0.08389568007471968,**,0.6594068512892433,0.25491347836153927,,0.7900467215272072,0.13431046646495165,**,0.8403051370685924,0.10742722024455152,**,0.8473662440345762,0.10584533015269836,**,0.8867040596252364,0.11096349822991752,,0.611296990951746,0.23082976096408853,**,0.8273658767324231,0.14699534544516948,**,0.7972661345861745,0.11590909355587642,**,0.9026983337692424,0.13569092048516931,**,0.8820745655633679,0.09245291477104825,**,0.8081222237881762,0.2664577290206143,**,0.7781384487947323,0.15417930134241906,**,1.7937414300527963,2.3485275907180037,,2.6150852467143513,4.107542229657867,,2.843288720775346,7.985965793601062,*,6.449701070337427,7.501151532416956,**,4.16090105407319,8.771080122686731,
logish,0.8045766175928905,0.08935401637978038,,0.8659633128593889,0.10982723092203596,,0.8770367191150316,0.09117360494238819,*,0.6697159282041926,0.23586892774401097,**,0.7908681403613278,0.1312924532659896,*,0.8294119879260492,0.12595628001980247,**,0.8486201323972964,0.11914671365401566,**,0.8692847349606303,0.12749625601517814,**,0.6325134712216487,0.23672661444314314,**,0.800586494811532,0.15927877660681722,*,0.8021318580305471,0.10846770629772665,**,0.9031481333883882,0.12476237249540585,**,0.9029810905075905,0.08096974803757524,**,0.7979189123449312,0.21496565801415293,**,0.8096965103010878,0.135421481665598,**,2.0788726915309685,2.8144273470604424,,2.331369079190206,3.323363663239658,,2.2065713515177867,3.3759075519658643,,5.604062982085293,5.988592493521009,*,3.330474836031287,3.8854708634808786,
mish,0.8054809529646885,0.10936366866449265,**,0.8624567312156973,0.1270220546306126,,0.8768311219015255,0.08262568087218466,**,0.6605979445046276,0.25843594835244527,*,0.7891655539524239,0.12761346751197225,*,0.837169484455248,0.14099898277909884,**,0.8629900031215657,0.10054544300508249,**,0.8806414049278012,0.11411293149937955,,0.6452001188243174,0.2339548282524216,*,0.8102103771213074,0.15181400823668872,*,0.8031296740113634,0.11208170403639553,**,0.8821070001874554,0.15999854588045034,**,0.8873896663014389,0.09028547450273637,**,0.7673966670900004,0.2719750454036036,**,0.7952682058387348,0.14186420664117638,,2.2563083085491122,4.0286497209476755,,3.0404367793750025,5.292839772279559,,2.259369380427853,2.9930544552386027,*,5.9398436804620465,6.6320237421332395,,3.4140689409621956,3.6057857219799483,
prelu,0.7939321382845782,0.11579878559169562,,0.8455481816552114,0.14504439563404906,**,0.8656269360177258,0.10993509198677054,,0.6643680481855835,0.24848011477262866,*,0.7748703750676212,0.1485731152135238,,0.789283745851845,0.15148000349622404,**,0.8223464738124334,0.14359979808571105,**,0.8483802015873493,0.14525955405351762,**,0.6506900389518248,0.2479827751721297,,0.77646573712238,0.17820278902917533,**,0.828051466373722,0.10941714929777774,**,0.8983659117659463,0.15956049321836857,**,0.9061568925459963,0.07989015828056796,**,0.779161306985126,0.2267468723044029,**,0.8073395444654246,0.141258473273995,**,2.5320344764118254,4.559685169033765,,3.224800120589213,5.329291546966787,**,2.61751088362464,4.294457805173269,,5.882363554241626,6.921969219449931,,4.4413837016886575,8.42224130164573,
relu,0.8053505394383889,0.08338374808633846,,0.8713574186096623,0.09719996905676388,,0.8714131209424892,0.09005189284090376,,0.6626428920670596,0.2304476979511487,,0.7819620473603415,0.13659139385959815,,0.8569923349305126,0.10661247047606252,,0.881708620211325,0.09725366473727606,,0.8835030248740756,0.12120824502225155,,0.6514040602822273,0.23735624607929506,,0.8040864954989151,0.1595758484531643,,0.7769558394252529,0.11485410355064495,,0.8746681721277015,0.12178281056916851,,0.8767096079067972,0.09609772201547913,,0.7473068688034122,0.2244561339628756,,0.7878412088495653,0.15169161950860086,,1.9331234300166145,2.5223859020725197,,2.2776567238022345,3.348499724051074,,2.4969707747223384,3.5684866800370325,,5.315108689732272,6.404254055518263,,4.385520691592993,8.28079779689387,
smish,0.8011610223337925,0.10075652275165597,,0.8601762054658179,0.11806646450770733,,0.8711204375351527,0.10204688191400774,,0.660936594430175,0.23691963624140638,,0.7850644407555765,0.13905238719528296,,0.8169547857818813,0.13615078875742614,**,0.8429148220962479,0.13674168797753225,**,0.8612233081581294,0.1365690801820131,**,0.6410257090171179,0.24091646172096487,,0.7916357692470761,0.16439574625538603,**,0.8083727524811789,0.10821022602032557,**,0.8973994075811804,0.116119185485414,**,0.9022731739873721,0.0839372793333758,**,0.7631636740749962,0.2352243844191719,*,0.8102166379011577,0.14075694915884,**,2.1731583935625642,3.546904480169559,,2.508267709229002,4.070433448944131,,2.395154910961695,3.526124732959945,,5.548618635864728,5.905896071287834,,3.555391670046237,4.280561002517669,
