Activation,Seed,Dice_ET,Dice_TC,Dice_WT,Dice_NCR,Dice_ED,HD95_ET,HD95_TC,HD95_WT,HD95_NCR,HD95_ED,Sens_ET,Sens_TC,Sens_WT,Sens_NCR,Sens_ED,Prec_ET,Prec_TC,Prec_WT,Prec_NCR,Prec_ED
prelu,42,0.8065132696037237,0.8698041158189558,0.876653038353115,0.6727841454029971,0.792338779231157,2.0084010752485786,2.3112031646913502,2.095640851890568,5.526106070178464,3.2471867336064624,0.8375584237219497,0.8499489514263173,0.8897586228229942,0.6256022735458273,0.8309695622655243,0.7992500568801694,0.903936234806127,0.878556349942673,0.8158998175906172,0.7820157796212079
prelu,1337,0.7927348157941525,0.8566925882233678,0.8717295938874962,0.6798784833699785,0.7867542823090394,2.8102501382113982,3.4847098619472128,2.3900098216400116,6.40218090846789,3.5354195414879945,0.7870993932627514,0.8180667565746906,0.8812693909355886,0.6467069537295698,0.8287474720773401,0.8365821176191409,0.9211714444947541,0.8830662649516913,0.800943316133362,0.778781630901169
prelu,2025,0.8002850255668694,0.8583302913628541,0.8752067393890536,0.6803495135944784,0.7872784082082961,2.303975031967252,2.8586275405887656,2.1305825643259118,5.307492101265271,4.0182331056212455,0.7923983551522366,0.8327572617397614,0.885342937252432,0.6698187379262962,0.8265570500050564,0.8352922499604566,0.9004236618828194,0.881244653258831,0.7629943928463072,0.7765472279066531
relu,42,0.8127350192468193,0.8727840398346539,0.8776543927077768,0.6750894375951858,0.7932013951069617,2.063883242248429,2.5692894936562314,2.289718191269664,5.229407317912758,3.4895059508438266,0.8307502694426061,0.8482219975253281,0.8920993278178827,0.6371732107524386,0.8328834087713626,0.8143257416731692,0.9092917261595848,0.8781754472802039,0.7861282717240388,0.7816190207591236
relu,1337,0.8068741651029641,0.8608666553864197,0.8733072150397021,0.6530488922228455,0.7835062956220963,2.1097538254707557,2.991379419997437,2.2465119752101956,5.764544309243616,4.242539131909622,0.8473201767709773,0.8568581039306041,0.8766424923121493,0.616780032144717,0.8053313461517885,0.7869607205115893,0.881125357249435,0.8869334946006621,0.7696350530330628,0.7905052610065988
relu,2025,0.8039654060342497,0.8620684784629641,0.8736573652566957,0.6542007984030348,0.7849740915805735,1.8653670815135819,2.611301139040167,2.3585486810325667,6.687695142954872,3.8982796195483926,0.8408866980993667,0.8537287804773109,0.8739747745872015,0.6226785814512397,0.8013996857352843,0.7894115042134466,0.8898180015447028,0.8933375812937041,0.7833329812996196,0.7993888398120566
swish,42,0.8104383073154376,0.8691552443584313,0.8794706855627631,0.6728522470874059,0.7926067974615285,1.9819868802739966,2.7888126157208353,1.9715914757912907,5.704199515029375,3.2299189035720364,0.846033088436222,0.8660412488342506,0.8886122214866741,0.636849671979513,0.8205065853263503,0.7983566849357204,0.887901571386067,0.8844266041503942,0.7807917940235455,0.7918210218562941
swish,1337,0.7894578654243346,0.8526280165448283,0.8693273573296051,0.6782250637908264,0.7823382191066934,2.41330979867299,2.7921318652554845,2.8323922702249846,10.395911973502065,4.247978313112751,0.7539567934780813,0.8075567246658013,0.8906016860241568,0.6665807184633294,0.8427849023157385,0.8559245821304338,0.9236851337669229,0.8654716815921327,0.7633225022064951,0.7537665686890537
swish,2025,0.8032848235183967,0.8606593039927166,0.8761086416453,0.6792154692950233,0.7913890392627012,2.351127615446944,2.8752451108716284,2.1077108076679516,5.708854727772155,3.252609846218208,0.7986396960078177,0.8364772827457553,0.8693745870263201,0.6650321646604932,0.8048922633363745,0.8327804919024486,0.9028382831514637,0.9010889128028,0.7635603915939776,0.8063223887553143
tanhexp,42,0.8144674630957591,0.864586607113953,0.8808283923036269,0.6609981843790437,0.7940275342631041,2.003184070823427,2.731774435237802,1.9576302078092749,6.017331294697268,3.191106432753819,0.8317505287876195,0.8504577322050413,0.8771653235374304,0.6355150748074999,0.811162010535453,0.8133792220640633,0.8973041785267538,0.899014651246253,0.7704598809308201,0.8039181159800822
tanhexp,1337,0.8065778749272136,0.8691576526083536,0.8693538083845118,0.6685601422738632,0.7802037579341913,2.134344698413144,2.6650905960383344,2.5566302867475867,5.56513784357021,3.8639470475333364,0.836885125989085,0.8577506759915567,0.8708080470658467,0.6398038557152539,0.7991629595854499,0.8020951168348648,0.9006627962770783,0.8871882517817501,0.7763563746319578,0.7924258708594147
tanhexp,2025,0.8084022838423414,0.861772966438029,0.8783640669394626,0.6671080437988792,0.7878218149886176,1.8502483466121993,2.676076975691436,1.9497201242686215,5.608011666877824,3.6303500927386163,0.8255598957112429,0.8619758320135403,0.8951126913236713,0.6630184660967439,0.8254619310877875,0.8171591859456249,0.8848637730903629,0.8772386858673219,0.7542388729549998,0.7783134391759489
