Seed,Activation,Metric,p_value,sig
42,swish,Dice_ET,0.7770816810883159,
42,swish,Dice_TC,0.059712167700778064,
42,swish,Dice_WT,0.15850333176839715,
42,swish,Dice_NCR,0.7602790553073295,
42,swish,Dice_ED,0.9146284571729117,
42,swish,HD95_ET,0.9256336101869982,
42,swish,HD95_TC,0.7359259885902708,
42,swish,HD95_WT,0.23818580885081364,
42,swish,HD95_NCR,0.7757279276505678,
42,swish,HD95_ED,0.6449050739784268,
42,swish,Sens_ET,4.06198194876155e-05,**
42,swish,Sens_TC,0.0003953404812094839,**
42,swish,Sens_WT,0.2975105047975537,
42,swish,Sens_NCR,0.15369067110626455,
42,swish,Sens_ED,0.0018093514522035871,**
42,swish,Prec_ET,2.178222952109971e-06,**
42,swish,Prec_TC,0.006666827461444442,**
42,swish,Prec_WT,0.016409266284760905,*
42,swish,Prec_NCR,0.3956741030543036,
42,swish,Prec_ED,0.0031273355225125287,**
42,prelu,Dice_ET,0.10193947476056621,
42,prelu,Dice_TC,0.8928568831221192,
42,prelu,Dice_WT,0.8366672202477612,
42,prelu,Dice_NCR,0.5254494679859925,
42,prelu,Dice_ED,0.8972052780041896,
42,prelu,HD95_ET,0.961128874911082,
42,prelu,HD95_TC,0.8294542664222707,
42,prelu,HD95_WT,0.516908035195466,
42,prelu,HD95_NCR,0.5458929949960218,
42,prelu,HD95_ED,0.46502684545419615,
42,prelu,Sens_ET,0.00032048826030124325,**
42,prelu,Sens_TC,0.772870894520938,
42,prelu,Sens_WT,0.19354202535258413,
42,prelu,Sens_NCR,0.0006869359109126151,**
42,prelu,Sens_ED,0.33463443480412636,
42,prelu,Prec_ET,3.834550239844335e-07,**
42,prelu,Prec_TC,0.7519194181042635,
42,prelu,Prec_WT,0.3571336370971021,
42,prelu,Prec_NCR,0.00030076167647916877,**
42,prelu,Prec_ED,0.7311491921501398,
42,tanhexp,Dice_ET,0.9846484945303468,
42,tanhexp,Dice_TC,0.23612685806335731,
42,tanhexp,Dice_WT,0.3716682421883045,
42,tanhexp,Dice_NCR,0.16846965311438444,
42,tanhexp,Dice_ED,0.6265888122490879,
42,tanhexp,HD95_ET,0.7423401332903602,
42,tanhexp,HD95_TC,0.5603286318999765,
42,tanhexp,HD95_WT,0.19015546987555865,
42,tanhexp,HD95_NCR,0.2907818884357759,
42,tanhexp,HD95_ED,0.8124229726336872,
42,tanhexp,Sens_ET,0.32643804434391865,
42,tanhexp,Sens_TC,0.6033988361702409,
42,tanhexp,Sens_WT,3.725178670584733e-07,**
42,tanhexp,Sens_NCR,0.8973030906650536,
42,tanhexp,Sens_ED,9.801937884777677e-07,**
42,tanhexp,Prec_ET,0.2874296921585733,
42,tanhexp,Prec_TC,0.945212935735109,
42,tanhexp,Prec_WT,4.1581508122388136e-10,**
42,tanhexp,Prec_NCR,0.08680664521085418,
42,tanhexp,Prec_ED,2.7043795326848913e-07,**
1337,swish,Dice_ET,0.0037980737212510458,**
1337,swish,Dice_TC,0.0024748091104438573,**
1337,swish,Dice_WT,0.00689136503024797,**
1337,swish,Dice_NCR,0.00014701249016736017,**
1337,swish,Dice_ED,0.08579912213077526,
1337,swish,HD95_ET,0.0035939033945924107,**
1337,swish,HD95_TC,0.11313567844305471,
1337,swish,HD95_WT,0.9850727912343082,
1337,swish,HD95_NCR,0.07002238392914148,
1337,swish,HD95_ED,0.8697673481545849,
1337,swish,Sens_ET,1.180508162993433e-13,**
1337,swish,Sens_TC,1.4277802591643282e-10,**
1337,swish,Sens_WT,2.178222952109971e-06,**
1337,swish,Sens_NCR,1.1090132741869093e-07,**
1337,swish,Sens_ED,1.191525855628289e-11,**
1337,swish,Prec_ET,1.1325002193757658e-13,**
1337,swish,Prec_TC,5.740700221420256e-11,**
1337,swish,Prec_WT,5.504859607700306e-10,**
1337,swish,Prec_NCR,0.01117679634329096,*
1337,swish,Prec_ED,3.2113058768100126e-12,**
1337,prelu,Dice_ET,0.8067342269572111,
1337,prelu,Dice_TC,0.01544922730229167,*
1337,prelu,Dice_WT,0.670063695081246,
1337,prelu,Dice_NCR,0.001215099948661276,**
1337,prelu,Dice_ED,0.22966742815137087,
1337,prelu,HD95_ET,0.06280586272794496,
1337,prelu,HD95_TC,0.06429551179015482,
1337,prelu,HD95_WT,0.9545638444521887,
1337,prelu,HD95_NCR,0.5860198476954628,
1337,prelu,HD95_ED,0.5676561041334401,
1337,prelu,Sens_ET,8.779324163878088e-12,**
1337,prelu,Sens_TC,3.2479645833147057e-10,**
1337,prelu,Sens_WT,0.00938790875291293,**
1337,prelu,Sens_NCR,4.545221695271909e-06,**
1337,prelu,Sens_ED,1.0277753860347758e-09,**
1337,prelu,Prec_ET,1.9383424167990778e-13,**
1337,prelu,Prec_TC,2.196562596776909e-10,**
1337,prelu,Prec_WT,0.013887651224555994,*
1337,prelu,Prec_NCR,0.6942638994650197,
1337,prelu,Prec_ED,1.7518627297552357e-06,**
1337,tanhexp,Dice_ET,0.007006162014575208,**
1337,tanhexp,Dice_TC,0.3210468817677564,
1337,tanhexp,Dice_WT,0.2655988867309713,
1337,tanhexp,Dice_NCR,0.17189418725411731,
1337,tanhexp,Dice_ED,0.14289399690690302,
1337,tanhexp,HD95_ET,0.8767013015603727,
1337,tanhexp,HD95_TC,0.7542386379522381,
1337,tanhexp,HD95_WT,0.07351283697145412,
1337,tanhexp,HD95_NCR,0.026576473630877024,*
1337,tanhexp,HD95_ED,0.18546408760526045,
1337,tanhexp,Sens_ET,0.0027587049680866007,**
1337,tanhexp,Sens_TC,0.33188769005216046,
1337,tanhexp,Sens_WT,0.2070606781947032,
1337,tanhexp,Sens_NCR,3.2108009397545565e-05,**
1337,tanhexp,Sens_ED,0.15369067110626455,
1337,tanhexp,Prec_ET,9.97213334843976e-09,**
1337,tanhexp,Prec_TC,0.10426321130750228,
1337,tanhexp,Prec_WT,0.5218701568290969,
1337,tanhexp,Prec_NCR,0.06121797312739318,
1337,tanhexp,Prec_ED,0.8323754899588182,
2025,swish,Dice_ET,0.945212935735109,
2025,swish,Dice_TC,0.1489899218319036,
2025,swish,Dice_WT,0.46635274654444925,
2025,swish,Dice_NCR,0.0001832261694709826,**
2025,swish,Dice_ED,0.013467877502082545,*
2025,swish,HD95_ET,0.049372470770963274,*
2025,swish,HD95_TC,0.9063428358855554,
2025,swish,HD95_WT,0.9568435711859501,
2025,swish,HD95_NCR,0.03378860115059022,*
2025,swish,HD95_ED,0.17661138797063314,
2025,swish,Sens_ET,3.6827898601844696e-11,**
2025,swish,Sens_TC,2.0150999178894025e-07,**
2025,swish,Sens_WT,0.09965715150908985,
2025,swish,Sens_NCR,1.0129627246426027e-07,**
2025,swish,Sens_ED,0.060888312841572936,
2025,swish,Prec_ET,7.414693597835593e-13,**
2025,swish,Prec_TC,3.2756628114211545e-05,**
2025,swish,Prec_WT,0.0010205850914065209,**
2025,swish,Prec_NCR,0.03951007345311524,*
2025,swish,Prec_ED,0.12305792935473525,
2025,prelu,Dice_ET,0.8625154343465833,
2025,prelu,Dice_TC,0.015922885608949354,*
