Activation,GPU,sec_per_epoch_median,inference_ms_per_volume,peak_vram_gb
relu,NVIDIA A100-SXM4-40GB,25.34,33.41,5.8
leaky_relu,NVIDIA A100-SXM4-40GB,25.38,28.35,5.8
prelu,NVIDIA A100-SXM4-40GB,25.8,28.94,6.96
elu,NVIDIA A100-SXM4-40GB,25.25,28.43,5.8
gelu,NVIDIA A100-SXM4-40GB,25.25,28.43,6.96
swish,NVIDIA A100-SXM4-40GB,25.57,28.41,6.96
mish,NVIDIA A100-SXM4-40GB,34.1,39.83,14.32
elish,NVIDIA A100-SXM4-40GB,27.84,31.13,9.38
hard_elish,NVIDIA A100-SXM4-40GB,27.95,31.05,9.38
logish,NVIDIA A100-SXM4-40GB,33.61,39.85,15.75
smish,NVIDIA A100-SXM4-40GB,35.18,41.9,15.75
tanhexp,NVIDIA A100-SXM4-40GB,35.15,40.78,14.32
